model,accuracy,precision,recall,f1,roc_auc,pr_auc,true_positives,false_positives,true_negatives,false_negatives,train_seconds
LightGBM,0.9758064516129032,0.7037037037037037,0.4318181818181818,0.5352112676056338,0.9581611570247934,0.5732300177254355,19,8,1312,25,1.81
XGBoost,0.968475073313783,0.5128205128205128,0.45454545454545453,0.4819277108433735,0.9526170798898072,0.5353004564159345,20,19,1301,24,0.99
RandomForest,0.9706744868035191,0.5526315789473685,0.4772727272727273,0.5121951219512195,0.946875,0.5032189510489748,21,17,1303,23,0.64
CatBoost,0.9611436950146628,0.41509433962264153,0.5,0.4536082474226804,0.946849173553719,0.5021242708745536,22,31,1289,22,1.62
