series_id,history_length,start_offset,model,horizon,mae,rmse,mape
RSFSDP,12,0,LinearRegression,12,635.5652680652711,666.3415723859355,3.60170015971029
RSFSDP,12,195,Prophet,6,527.8397290194334,566.0924303729311,1.4381382819240993
RSFSDP,12,195,Prophet,12,1103.228882752904,1319.1270886104228,2.9856268197225493
RSFSDP,12,195,ARIMA,6,179.37306069774544,198.3185580313467,0.4878616267375624
RSFSDP,12,195,ARIMA,12,279.86643947034344,377.114665335072,0.7553081591997696
RSFSDP,12,195,LinearRegression,6,273.20687645687696,280.9208173374822,0.7442871656077908
RSFSDP,12,195,LinearRegression,12,291.0745920745928,315.6255727828213,0.7894541924730684
RSFSDP,12,390,Prophet,6,1363.8904109725845,1569.1849087322025,1.3661505463296177
RSFSDP,12,390,Prophet,12,2550.0173928852855,2872.3688841806957,2.5327699824367422
RSFSDP,12,390,ARIMA,6,865.3650276478342,1043.3924983869258,0.866751767655413
RSFSDP,12,390,ARIMA,12,1695.9551578959424,1950.7185901868047,1.6854757422542788
RSFSDP,12,390,LinearRegression,6,721.6194638694651,921.5611787379672,0.7225987580738196
RSFSDP,12,390,LinearRegression,12,1541.9370629370617,1812.2200990581612,1.5320931562973092
RSFSDP,24,0,Prophet,6,1473.6322299402955,1582.1038336188985,8.083338413577538
RSFSDP,24,0,Prophet,12,1826.5998120486968,1913.0453725225964,9.901774153807176
RSFSDP,24,0,ARIMA,6,449.51215255085725,475.7202554890672,2.487826971347831
RSFSDP,24,0,ARIMA,12,611.5790065698653,646.2775509598755,3.322263574607632
RSFSDP,24,0,LinearRegression,6,227.57628019323724,342.55056114870064,1.2890882013080516
RSFSDP,24,0,LinearRegression,12,177.81666666666752,260.70953582601436,0.988645812073737
RSFSDP,24,189,Prophet,6,540.4865070409287,771.9328814050677,1.4513835423434227
RSFSDP,24,189,Prophet,12,1232.258484967307,1500.2649892301627,3.2504973708913276
RSFSDP,24,189,ARIMA,6,377.052775328358,491.32526800125606,1.0138457121913094
RSFSDP,24,189,ARIMA,12,932.3870100855402,1126.608237932581,2.4595807661563565
RSFSDP,24,189,LinearRegression,6,276.4355555555546,341.030306896943,0.74524200393913
RSFSDP,24,189,LinearRegression,12,749.6977777777793,922.2912614907652,1.977167337048823
RSFSDP,24,378,Prophet,6,1747.5347529146359,1922.0671177382292,1.751283382572415
RSFSDP,24,378,Prophet,12,3236.5613708429337,3740.9165347026037,3.2169977507755285
RSFSDP,24,378,ARIMA,6,532.4625190843508,689.3304510515139,0.5333367143815954
RSFSDP,24,378,ARIMA,12,1089.3051128274165,1307.3756408239265,1.0838496410530236
RSFSDP,24,378,LinearRegression,6,448.963526570049,494.4195127205347,0.45067212213137736
RSFSDP,24,378,LinearRegression,12,587.8081159420302,698.0325803975869,0.5873457223465616
RSFSDP,60,0,Prophet,6,534.0127834577366,549.3383167886477,2.570971474160359
RSFSDP,60,0,Prophet,12,517.4173573922275,551.8743224371443,2.4597373567226475
RSFSDP,60,0,ARIMA,6,213.7149698854761,220.73066812854194,1.0282427540757
RSFSDP,60,0,ARIMA,12,294.6934206665098,333.90556326176846,1.3945056145110628
RSFSDP,60,0,LinearRegression,6,366.3342873020277,371.9458460866891,1.763028076435939
RSFSDP,60,0,LinearRegression,12,408.16164675372664,440.822617299399,1.936154197162387
RSFSDP,60,171,Prophet,6,445.32685351873806,481.8749186451412,1.09781134517893
RSFSDP,60,171,Prophet,12,596.1358970651758,669.7050692158372,1.4448436304451777
RSFSDP,60,171,ARIMA,6,793.3432120461439,909.8225754323529,1.9513111537179397
RSFSDP,60,171,ARIMA,12,1342.093212046144,1515.3551984008025,3.248164290303256
RSFSDP,60,171,LinearRegression,6,1494.8302861906134,1532.370163104341,3.6904864750226385
RSFSDP,60,171,LinearRegression,12,1845.128494026123,1909.2310168960548,4.485862662240674
RSFSDP,60,342,Prophet,6,916.4154576438013,997.8654048179338,0.9200175277724743
RSFSDP,60,342,Prophet,12,1170.8807275250376,1312.2885750243322,1.1628284801681978
RSFSDP,60,342,ARIMA,6,853.5969459031185,934.9666749186473,0.8547627458034024
RSFSDP,60,342,ARIMA,12,1526.2542953023137,1867.9050644920446,1.5094600830018685
RSFSDP,60,342,LinearRegression,6,5867.055293136985,5944.07246025754,5.882655920323508
RSFSDP,60,342,LinearRegression,12,7385.598198573681,7573.703950663443,7.3477012933798
RSCCAS,6,0,Prophet,6,81.94856854568054,92.51632539324406,0.8304769668138349
RSCCAS,6,0,Prophet,12,155.94759412848393,198.14442621159628,1.5748184056525967
RSCCAS,6,0,ARIMA,6,291.2604215827887,300.9466114161688,2.9481592428452696
RSCCAS,6,0,ARIMA,12,356.28520868435635,394.8003304714724,3.561324065192717
RSCCAS,6,0,LinearRegression,6,162.7904761904759,173.08448096527985,1.647658576518735
RSCCAS,6,0,LinearRegression,12,173.59523809523776,206.42958806801866,1.7439004654983863
RSCCAS,6,198,Prophet,6,1371.0628967837304,1468.4696234866917,8.274461986871922
RSCCAS,6,198,Prophet,12,2472.208912077914,2761.392845152287,14.816613327459374
RSCCAS,6,198,ARIMA,6,279.4650890134132,333.6591829162944,1.6795691287991572
RSCCAS,6,198,ARIMA,12,298.34684469349304,335.2411376866664,1.7855818454229062
RSCCAS,6,198,LinearRegression,6,1499.4666666666683,1603.309624218328,9.053075120949556
RSCCAS,6,198,LinearRegression,12,2679.783333333335,2987.055185853342,16.063072145787395
RSCCAS,6,396,Prophet,6,198.56678534133366,242.2763298546022,0.7326238886381957
RSCCAS,6,396,Prophet,12,369.05516219626617,447.75815415064807,1.341487534096662
RSCCAS,6,396,ARIMA,6,619.6053275272152,640.8670653460066,2.278488108178572
RSCCAS,6,396,ARIMA,12,897.9375674042767,969.2531410438075,3.2564361913826776
RSCCAS,6,396,LinearRegression,6,206.68888888888978,231.68197551337084,0.7615494225017467
RSCCAS,6,396,LinearRegression,12,249.90555555555542,297.1612076522323,0.9116278241913957
RSCCAS,12,0,Prophet,6,222.67779593065916,259.6914035081597,2.2485996215876565
RSCCAS,12,0,Prophet,12,213.27063130127453,245.78270545725786,2.12626895767556
RSCCAS,12,0,ARIMA,6,183.9367005536566,219.03703441915954,1.8440474879897453
